feature,epoch,grad_cos_mean,grad_cos_std,grad_cos_min,grad_cos_max,n,acc_aff_mean,acc_spec_mean,aff_gap_mean,spec_gap_mean,loss_total_mean
ESM2,25,0.08766215903935949,0.05876682372767488,0.0084859205037355,0.2652452936768532,25,0.8609375,0.888775,1.3367485834121704,1.462407779121399,0.23401474708318706
Fusion-ESM2,1,0.020898277218383724,0.024979394844869673,-0.0279276301129721,0.0721536475000903,25,0.55555,0.5787375,0.0972941250746138,0.15516017218679187,0.768573399066925
Fusion-ESM2,2,0.07489802766318894,0.02315899707347282,0.0403359965805429,0.1168957230169326,25,0.7284,0.7536499999999999,0.5316308742955327,0.6101172358900309,0.4293226499319076
Fusion-ESM2,3,0.07282461207577721,0.03610652859142818,0.0189674613345414,0.1688005206780508,25,0.8250624999999999,0.8394750000000001,0.962608631157875,0.9725839946985245,0.3053809630990028
Fusion-ESM2,4,0.06554322322367222,0.040271806345866724,-0.0154580559395253,0.1679659712943248,25,0.8542000000000001,0.8627750000000001,1.1783790804862975,1.143404267168045,0.26613825806379315
Fusion-ESM2,5,0.06734728292895376,0.036978931816444516,-0.0017097241338342,0.1360896975640207,25,0.8666750000000001,0.8728,1.3135004666805268,1.2587649339675904,0.2461136554121971
Fusion-ESM2,6,0.056372163277654874,0.03368632608826703,-0.001518923016265,0.1234608550276607,25,0.8777375000000001,0.8845000000000001,1.426167220401764,1.359980796146393,0.22928440967202182
Fusion-ESM2,7,0.06122944326061403,0.03437264937797675,-0.0008953465893864,0.133148409537971,25,0.8852374999999999,0.8895375,1.5063792186737062,1.432717251968384,0.2177533660292625
Fusion-ESM2,8,0.05315758592769267,0.037815914314044026,-0.0139952680468559,0.1311017233273014,25,0.8896125,0.8935875,1.5687533244132996,1.495583260345459,0.2096567774534225
Fusion-ESM2,9,0.049163158021494714,0.032967446203463174,-0.0288098252005875,0.1095797194633632,25,0.8967125,0.89865,1.65075311126709,1.5813718042373657,0.19889241117238995
Fusion-ESM2,10,0.04876482927950561,0.03734835763897878,-0.0388485636468976,0.0953286921404651,25,0.901225,0.89955,1.70707383184433,1.6246870849132538,0.1949816979408264
