model,iso_aff_rho,iso_spec_rho,igg_aff_rho,igg_spec_rho,seed,pareto_loss
MOLM (Fusion-ESM2),0.8549321334833148,0.6617862767154106,0.47976660006228966,0.4131193604075523,42,ON
MOLM-ST (Fusion-ESM2),0.8768533933258345,0.6553790776152981,0.5639447154890402,0.6545043134857237,42,ON
LDA (OneHot),0.868652418447694,0.6694773153355831,0.7190822249412309,0.7694804181094547,42,ON
LDA (ESM2),0.8404739407574053,0.7183832020997376,0.6749657559699859,0.6210169148893903,42,ON
LDA (Fusion-ESM2),0.8384041994750656,0.6922024746906638,0.6057093874011564,0.5611774471797193,42,ON
NN (OneHot),0.8634630671166106,0.6963719535058118,0.6142245146842092,0.7360741028027008,42,ON
NN (ESM2),0.8766650716889732,0.6390906441637508,0.7008619998725432,0.6086919634876061,42,ON
NN (Fusion-ESM2),0.8696490541519568,0.6999782525412785,0.6276865254364641,0.7307226056904538,42,ON
MOLM (OneHot),0.857607799025122,0.6698672665916761,0.32527786221261723,0.6927756261672477,123,ON
MOLM-ST (OneHot),0.8499767529058868,0.6883629546306712,0.46703445736286775,0.7149924475120308,123,ON
MOLM (ESM2),0.8773573303337084,0.6329058867641546,0.5994649607269177,0.47790490878157277,123,ON
MOLM-ST (ESM2),0.8920194975628049,0.6477480314960631,0.6646665067800077,0.6140437519855533,123,ON
MOLM (Fusion-ESM2),0.8638590176227974,0.6473760779902513,0.5594844107217268,0.6322064088513613,123,ON
MOLM-ST (Fusion-ESM2),0.8600674915635547,0.6328818897637796,0.493066417913915,0.6773698011471426,123,ON
LDA (OneHot),0.868652418447694,0.6694773153355831,0.7190822249412309,0.7694804181094547,123,ON
LDA (ESM2),0.8404739407574053,0.7183832020997376,0.6749657559699859,0.6210169148893903,123,ON
LDA (Fusion-ESM2),0.8384041994750656,0.6922024746906638,0.6057093874011564,0.5611774471797193,123,ON
NN (OneHot),0.865424821897263,0.6981717285339333,0.6395266071824232,0.7286144401613868,123,ON
NN (ESM2),0.8707178776296433,0.6322146384320249,0.7249992877721736,0.5857295194634201,123,ON
NN (Fusion-ESM2),0.8612377581012451,0.6864978825462273,0.6903903350682659,0.678655820636991,123,ON
MOLM (OneHot),0.863475065616798,0.7114180727409075,0.6313358657006295,0.7735345825884297,456,ON
MOLM-ST (OneHot),0.8395260592425948,0.6533033370828648,0.5112320227844276,0.4993919805201403,456,ON
MOLM (ESM2),0.8558740157480316,0.6107626546681666,0.5896522902388283,0.5031218118407973,456,ON
MOLM-ST (ESM2),0.8726119235095613,0.6475260592425947,0.6877789951197224,0.6545043134857237,456,ON
MOLM (Fusion-ESM2),0.8711361079865018,0.6713070866141733,0.7371667333614287,0.6133140023793378,456,ON
MOLM-ST (Fusion-ESM2),0.8684064491938508,0.6745886764154482,0.6223341597156881,0.7203439446242776,456,ON
LDA (OneHot),0.868652418447694,0.6694773153355831,0.7190822249412309,0.7694804181094547,456,ON
LDA (ESM2),0.8404739407574053,0.7183832020997376,0.6749657559699859,0.6210169148893903,456,ON
LDA (Fusion-ESM2),0.8384041994750656,0.6922024746906638,0.6057093874011564,0.5611774471797193,456,ON
NN (OneHot),0.8578561154670367,0.6798551776903002,0.6892807865173869,0.6877479401612576,456,ON
NN (ESM2),0.8795403347159988,0.6396010498687664,0.7203883254495962,0.6174492501478923,456,ON
NN (Fusion-ESM2),0.859343257327776,0.6852493788873503,0.6954757087797292,0.6541904056550483,456,ON
MOLM (OneHot),0.8504566929133859,0.6840854893138358,0.37823384426817425,0.7220466937054473,789,ON
MOLM-ST (OneHot),0.8583997000374953,0.6854833145856768,0.5178008352599255,0.7824537444421746,789,ON
MOLM (ESM2),0.8442714660667417,0.6339137607799026,0.5620794971318,0.6076381721087727,789,ON
MOLM-ST (ESM2),0.8884079490063742,0.649607799025122,0.7288137989790056,0.6823158818114923,789,ON
MOLM (Fusion-ESM2),0.8513685789276341,0.684379452568429,0.5645934870915585,0.6991001227544488,789,ON
MOLM-ST (Fusion-ESM2),0.8687964004499438,0.6642159730033746,0.5772445333406656,0.6440445691299683,789,ON
LDA (OneHot),0.868652418447694,0.6694773153355831,0.7190822249412309,0.7694804181094547,789,ON
LDA (ESM2),0.8404739407574053,0.7183832020997376,0.6749657559699859,0.6210169148893903,789,ON
LDA (Fusion-ESM2),0.8384041994750656,0.6922024746906638,0.6057093874011564,0.5611774471797193,789,ON
NN (OneHot),0.8673085864266967,0.698800351650849,0.6243057690057201,0.7265873579218992,789,ON
NN (ESM2),0.8780832395950506,0.639434297192066,0.73092230668719,0.6156654177771432,789,ON
NN (Fusion-ESM2),0.8578284840108709,0.6959428857389993,0.6790883164991273,0.7171904999942454,789,ON
MOLM (OneHot),0.853000374953131,0.685111361079865,0.6562324759472697,0.6031785911819002,2024,ON
MOLM-ST (OneHot),0.8592455943007126,0.6873610798650169,0.6732627305133754,0.7283711902926482,2024,ON
MOLM (ESM2),0.890339707536558,0.6423067116610424,0.6859137767624824,0.6104760872440553,2024,ON
MOLM-ST (ESM2),0.8874600674915637,0.6436445444319461,0.6797504465385583,0.6192330825186413,2024,ON
MOLM (Fusion-ESM2),0.8568638920134983,0.7131758530183727,0.5433462171090838,0.7303171892425562,2024,ON
MOLM-ST (Fusion-ESM2),0.865238845144357,0.677642294713161,0.4924987427617114,0.7695615013990342,2024,ON
LDA (OneHot),0.868652418447694,0.6694773153355831,0.7190822249412309,0.7694804181094547,2024,ON
LDA (ESM2),0.8404739407574053,0.7183832020997376,0.6749657559699859,0.6210169148893903,2024,ON
LDA (Fusion-ESM2),0.8384041994750656,0.6922024746906638,0.6057093874011564,0.5611774471797193,2024,ON
NN (OneHot),0.8624731908511436,0.6965255028608723,0.6263078857811127,0.7355065197756442,2024,ON
NN (ESM2),0.873311834289291,0.6355182560483327,0.7450330890419633,0.6155843344875638,2024,ON
NN (Fusion-ESM2),0.8624320003380749,0.7022467078211478,0.6266322715823718,0.7312901887175102,2024,ON
