metric,model_a,model_b,n_seeds,mean_a,mean_b,diff_mean,diff_std,p_bootstrap,significant_05,seeds_used
igg_aff_rho,MOLM (OneHot),LDA (ESM2),5,0.4227395762009302,0.6749657559699859,-0.25222617976905565,0.13490601576008263,0.0,True,"42,123,456,789,2024"
igg_spec_pval,MOLM (OneHot),LDA (ESM2),5,3.365997427534403e-05,1.1429867434290264e-05,2.2230106841053768e-05,4.507117761706517e-05,0.1737,False,"42,123,456,789,2024"
igg_spec_rho,MOLM (OneHot),LDA (ESM2),5,0.6473527673448118,0.6210169148893903,0.026335852455421582,0.0768712007367546,0.4544,False,"42,123,456,789,2024"
iso_aff_pval,MOLM (OneHot),LDA (ESM2),5,7.214411041021924e-37,8.503728570411698e-35,-8.431584460001479e-35,1.5949929272573576e-36,0.0,True,"42,123,456,789,2024"
iso_aff_rho,MOLM (OneHot),LDA (ESM2),5,0.8682948631421074,0.8404739407574053,0.027820922384702018,0.013637024301008535,0.0,True,"42,123,456,789,2024"
iso_spec_pval,MOLM (OneHot),LDA (ESM2),5,1.2778417663462786e-16,2.8254917670485857e-21,1.2778135114286081e-16,2.1959583025790707e-16,0.0646,False,"42,123,456,789,2024"
iso_spec_rho,MOLM (OneHot),LDA (ESM2),5,0.6622626171728535,0.7183832020997376,-0.0561205849268841,0.013612419822036297,0.0,True,"42,123,456,789,2024"
igg_aff_pval,MOLM (OneHot),LDA (Fusion-ESM2),5,0.03633678565260412,2.1341893499636374e-05,0.03631544375910448,0.06938574054790284,0.064,False,"42,123,456,789,2024"
igg_aff_rho,MOLM (OneHot),LDA (Fusion-ESM2),5,0.4227395762009302,0.6057093874011564,-0.1829698112002262,0.13490601576008263,0.0003,True,"42,123,456,789,2024"
igg_spec_pval,MOLM (OneHot),LDA (Fusion-ESM2),5,3.365997427534403e-05,0.00011058377582743586,-7.692380155209183e-05,4.507117761706517e-05,0.0,True,"42,123,456,789,2024"
igg_spec_rho,MOLM (OneHot),LDA (Fusion-ESM2),5,0.6473527673448118,0.5611774471797193,0.08617532016509255,0.0768712007367546,0.0,True,"42,123,456,789,2024"
iso_aff_pval,MOLM (OneHot),LDA (Fusion-ESM2),5,7.214411041021924e-37,1.7679168503920124e-34,-1.7607024393509906e-34,1.59499292725736e-36,0.0,True,"42,123,456,789,2024"
iso_aff_rho,MOLM (OneHot),LDA (Fusion-ESM2),5,0.8682948631421074,0.8384041994750657,0.029890663667041628,0.013637024301008535,0.0,True,"42,123,456,789,2024"
iso_spec_pval,MOLM (OneHot),LDA (Fusion-ESM2),5,1.2778417663462786e-16,2.798541435896733e-19,1.2750432249103818e-16,2.195958302579071e-16,0.0646,False,"42,123,456,789,2024"
iso_spec_rho,MOLM (OneHot),LDA (Fusion-ESM2),5,0.6622626171728535,0.6922024746906638,-0.029939857517810253,0.013612419822036297,0.0,True,"42,123,456,789,2024"
