seed,model,iso_aff_rho,iso_spec_rho,igg_aff_rho,igg_spec_rho,iso_aff_pval,iso_spec_pval,igg_aff_pval,igg_spec_pval
789,MOLM-ST (ESM2),0.8884079490063742,0.649607799025122,0.7288137989790056,0.6823158818114923,9.462994637787676e-44,1.8926891429614343e-16,4.437970720659442e-08,6.472731967826371e-07
789,MOLM (Fusion-ESM2),0.8576677915260593,0.6533033370828648,0.3639608690127714,0.6463959845277737,1.2607268419386966e-37,1.1206285876620497e-16,0.01781417023800749,3.761055552972309e-06
789,MOLM-ST (Fusion-ESM2),0.8687964004499438,0.6642159730033746,0.5772445333406656,0.6440445691299683,1.1582512371451782e-39,2.2829895917629432e-17,6.278456472016271e-05,4.186869723618062e-06
789,LDA (OneHot),0.868652418447694,0.6694773153355831,0.7190822249412309,0.7694804181094547,1.2340454059953319e-39,1.0350057566653719e-17,8.123455150839684e-08,2.607380525415581e-09
789,LDA (ESM2),0.8404739407574053,0.7183832020997376,0.6749657559699859,0.6210169148893903,8.503728570411698e-35,2.8254917670485857e-21,9.462358386381671e-07,1.1429867434290264e-05
789,LDA (Fusion-ESM2),0.8384041994750656,0.6922024746906638,0.6057093874011564,0.5611774471797193,1.7679168503920124e-34,2.798541435896733e-19,2.1341893499636374e-05,0.00011058377582743586
789,NN (OneHot),0.8673085864266967,0.698800351650849,0.6243057690057201,0.7265873579218992,2.2217979758554758e-39,9.210040965756245e-20,9.95147431024054e-06,5.107766262151221e-08
789,NN (ESM2),0.8780832395950506,0.639434297192066,0.73092230668719,0.6156654177771432,1.644567797725707e-41,7.722722331573281e-16,3.879908390652429e-08,1.4271528008161458e-05
789,NN (Fusion-ESM2),0.8578284840108709,0.6959428857389993,0.6790883164991273,0.7171904999942454,1.1815541817598068e-37,1.4958904068053114e-19,7.657359431274367e-07,9.110054077270853e-08
2024,MOLM (OneHot),0.8738297712785902,0.6725489313835772,0.500365098442246,0.5727723575895878,1.2035427117309988e-40,6.473149345137439e-18,0.0007395793121447274,7.371708094203607e-05
2024,MOLM-ST (OneHot),0.8592455943007126,0.6873610798650169,0.6732627305133754,0.7283711902926482,6.645779512984628e-38,6.208215810774391e-19,1.031691735487858e-06,4.5642297335726146e-08
2024,MOLM (ESM2),0.8938252718410199,0.6359115110611174,0.7357069972557625,0.5885835990575903,5.135985252062163e-45,1.2415298373366463e-15,2.846777203984684e-08,4.134819992434377e-05
2024,MOLM-ST (ESM2),0.8874600674915637,0.6436445444319461,0.6797504465385583,0.6192330825186413,1.5513658688558027e-43,4.3433349736202267e-16,7.399104836505806e-07,1.2313520875700464e-05
2024,MOLM (Fusion-ESM2),0.8832125984251971,0.6898987626546682,0.7327875250444301,0.6885592951091137,1.3478245132169376e-42,4.0966707111348226e-19,3.441438299114104e-08,4.64795730636746e-07
2024,MOLM-ST (Fusion-ESM2),0.865238845144357,0.677642294713161,0.4924987427617114,0.7695615013990342,5.427710688611001e-39,2.9356426063671287e-18,0.0009223159274734661,2.5912204367703092e-09
2024,LDA (OneHot),0.868652418447694,0.6694773153355831,0.7190822249412309,0.7694804181094547,1.2340454059953319e-39,1.0350057566653719e-17,8.123455150839684e-08,2.607380525415581e-09
2024,LDA (ESM2),0.8404739407574053,0.7183832020997376,0.6749657559699859,0.6210169148893903,8.503728570411698e-35,2.8254917670485857e-21,9.462358386381671e-07,1.1429867434290264e-05
2024,LDA (Fusion-ESM2),0.8384041994750656,0.6922024746906638,0.6057093874011564,0.5611774471797193,1.7679168503920124e-34,2.798541435896733e-19,2.1341893499636374e-05,0.00011058377582743586
2024,NN (OneHot),0.8624731908511436,0.6965255028608723,0.6263078857811127,0.7355065197756442,1.7499580049690092e-38,1.3556646177897906e-19,9.139659188085891e-06,2.884331190686285e-08
2024,NN (ESM2),0.873311834289291,0.6355182560483327,0.7450330890419633,0.6155843344875638,1.5260820816973034e-40,1.3086088502622544e-15,1.526958256115973e-08,1.4319171962327361e-05
2024,NN (Fusion-ESM2),0.8624320003380749,0.7022467078211478,0.6266322715823718,0.7312901887175102,1.7803929730266691e-38,5.092045973291124e-20,9.014004555998035e-06,3.789510788554212e-08
