model,metric,n_seeds,mean,std,min,max,ci_lo,ci_hi,seeds_used,values
MOLM-ST (esm2),aff_mccs_mean,5,0.7710089883624726,0.006134985025991218,0.7646914025349327,0.7788435094055026,0.7647290769127277,0.7784258464587813,"42,123,456,789,2024",0.778844;0.764691;0.774667;0.765068;0.771775
MOLM-ST (esm2),affinity_mean,5,0.8875499999999998,0.003554926159570712,0.883,0.89175,0.8833,0.891625,"42,123,456,789,2024",0.891750;0.886500;0.890500;0.883000;0.886000
MOLM-ST (esm2),spec_aucs_mean,5,0.9632940000000001,0.0006674130327241045,0.96248,0.96428875,0.962538125,0.9642111250000001,"42,123,456,789,2024",0.963128;0.964289;0.963512;0.963061;0.962480
MOLM-ST (esm2),spec_mccs_mean,5,0.8048214498780345,0.005610747012782623,0.796842278570937,0.8116911848068786,0.79737654413149,0.8112654751903138,"42,123,456,789,2024",0.805955;0.796842;0.807434;0.811691;0.802185
MOLM-ST (esm2),specificity_mean,5,0.90145,0.0033837848631377743,0.8967499999999999,0.9057499999999999,0.8970499999999999,0.90545,"42,123,456,789,2024",0.902250;0.896750;0.902750;0.905750;0.899750
MOLM-ST (fusion_esm2),aff_aucs_mean,5,0.9774137544632581,0.0006282806663254479,0.9768288472827782,0.9782676770819239,0.9768478740601658,0.9782300398163692,"42,123,456,789,2024",0.976829;0.977062;0.977891;0.978268;0.977019
MOLM-ST (fusion_esm2),aff_mccs_mean,5,0.8566766861460413,0.007893473026664771,0.8430592445652234,0.8635210573821179,0.8445417367852835,0.863117753624648,"42,123,456,789,2024",0.859488;0.843059;0.863521;0.857884;0.859431
MOLM-ST (fusion_esm2),affinity_mean,5,0.9310499999999999,0.0041056363696751995,0.924,0.93475,0.924775,0.9345249999999999,"42,123,456,789,2024",0.932500;0.924000;0.934750;0.931750;0.932250
MOLM-ST (fusion_esm2),spec_aucs_mean,5,0.97883,0.0008072721234194338,0.97780375,0.9800600000000002,0.977886375,0.9799386250000002,"42,123,456,789,2024",0.978810;0.978630;0.977804;0.978846;0.980060
MOLM-ST (fusion_esm2),spec_mccs_mean,5,0.8521657968882146,0.007201880571548159,0.8404989550565904,0.859618163732291,0.8415689596183928,0.8592173687262146,"42,123,456,789,2024",0.851199;0.855610;0.840499;0.853903;0.859618
MOLM-ST (fusion_esm2),specificity_mean,5,0.9254999999999999,0.004081206929328696,0.9187499999999998,0.9295,0.9193999999999999,0.9293,"42,123,456,789,2024",0.925250;0.927500;0.918750;0.926500;0.929500
MOLM-ST (onehot),aff_aucs_mean,5,0.977262399861298,0.0008734289480541191,0.9763000932434724,0.9782252106102071,0.9763232987955934,0.9782100790579302,"42,123,456,789,2024",0.978074;0.976300;0.977181;0.976532;0.978225
MOLM-ST (onehot),aff_mccs_mean,5,0.8600245502943065,0.0102668912007941,0.8428963687517843,0.8676781194857137,0.8444384008608247,0.867617554650007,"42,123,456,789,2024",0.867072;0.867678;0.864159;0.842896;0.858317
MOLM-ST (onehot),affinity_mean,5,0.9328,0.005780895259386732,0.92325,0.93725,0.924075,0.937175,"42,123,456,789,2024",0.936500;0.937250;0.935500;0.923250;0.931500
