model,metric,n_seeds,mean,std
MOLM (OneHot),spec_aps_mean,5,0.9780650622469252,0.0007986198474648985
MOLM (OneHot),spec_aps_std,5,0.0038845031644426584,0.0011858479645418761
MOLM (OneHot),spec_aucs_mean,5,0.9785127499999999,0.0002621610907438241
MOLM (OneHot),spec_aucs_std,5,0.0034301828609232163,0.0006856611003518718
MOLM (OneHot),spec_mccs_mean,5,0.8577515180250035,0.0030490742942685624
MOLM (OneHot),spec_mccs_std,5,0.013024908583691503,0.005739061845650765
MOLM (OneHot),specificity_accs_mean,5,0.92835,0.0015471748446765354
MOLM (OneHot),specificity_accs_std,5,0.00680052398581574,0.0026932493196751973
MOLM (OneHot),specificity_mean,5,0.92835,0.0015471748446765354
MOLM (OneHot),specificity_std,5,0.00680052398581574,0.0026932493196751973
MOLM-ST (ESM2),aff_aucs_mean,5,0.9564190677370098,0.0005770063561272985
MOLM-ST (ESM2),aff_aucs_std,5,0.005144426598934928,0.0008661359251061875
MOLM-ST (ESM2),aff_mccs_mean,5,0.7710089883624726,0.006134985025991218
MOLM-ST (ESM2),aff_mccs_std,5,0.02315052035601778,0.006434964293469915
MOLM-ST (ESM2),affinity_mean,5,0.8875499999999998,0.003554926159570712
MOLM-ST (ESM2),affinity_std,5,0.012503183867643097,0.0034902351589666037
MOLM-ST (ESM2),spec_aucs_mean,5,0.9632940000000001,0.0006674130327241045
MOLM-ST (ESM2),spec_aucs_std,5,0.003175543208368363,0.0021786973836978286
MOLM-ST (ESM2),spec_mccs_mean,5,0.8048214498780345,0.005610747012782623
MOLM-ST (ESM2),spec_mccs_std,5,0.018101322810702418,0.008675836049431734
MOLM-ST (ESM2),specificity_mean,5,0.90145,0.0033837848631377743
MOLM-ST (ESM2),specificity_std,5,0.009649689505340998,0.0043922506261755735
MOLM-ST (Fusion-ESM2),aff_aucs_mean,5,0.9774137544632581,0.0006282806663254479
MOLM-ST (Fusion-ESM2),aff_aucs_std,5,0.0031534975706730382,0.0005950120395377851
MOLM-ST (Fusion-ESM2),aff_mccs_mean,5,0.8566766861460412,0.007893473026664771
MOLM-ST (Fusion-ESM2),aff_mccs_std,5,0.01616388772312281,0.0072426854883730196
MOLM-ST (Fusion-ESM2),affinity_mean,5,0.9310499999999999,0.0041056363696751995
MOLM-ST (Fusion-ESM2),affinity_std,5,0.008161300200777741,0.004125860369787334
MOLM-ST (Fusion-ESM2),spec_aucs_mean,5,0.97883,0.0008072721234194338
MOLM-ST (Fusion-ESM2),spec_aucs_std,5,0.002410155153469762,0.0006101212852818458
MOLM-ST (Fusion-ESM2),spec_mccs_mean,5,0.8521657968882146,0.007201880571548159
MOLM-ST (Fusion-ESM2),spec_mccs_std,5,0.017842585123125358,0.007031400221569264
MOLM-ST (Fusion-ESM2),specificity_mean,5,0.9254999999999999,0.004081206929328696
MOLM-ST (Fusion-ESM2),specificity_std,5,0.009393971764328496,0.0038002129037395726
MOLM-ST (OneHot),aff_aucs_mean,5,0.977262399861298,0.0008734289480541191
MOLM-ST (OneHot),aff_aucs_std,5,0.0028857041770084337,0.0006344480087931162
MOLM-ST (OneHot),aff_mccs_mean,5,0.8600245502943065,0.0102668912007941
MOLM-ST (OneHot),aff_mccs_std,5,0.013851975979464772,0.00447953828318105
MOLM-ST (OneHot),affinity_mean,5,0.9328,0.005780895259386732
MOLM-ST (OneHot),affinity_std,5,0.007245175147870035,0.0022171031428099906
MOLM-ST (OneHot),spec_aucs_mean,5,0.9783267500000001,0.0011148267802667377
MOLM-ST (OneHot),spec_aucs_std,5,0.0031766175025361833,0.0010867421885967026
MOLM-ST (OneHot),spec_mccs_mean,5,0.8569022947966772,0.007331304383975233
MOLM-ST (OneHot),spec_mccs_std,5,0.020754755905481138,0.007391142608909266
MOLM-ST (OneHot),specificity_mean,5,0.9278000000000001,0.004233054452756259
MOLM-ST (OneHot),specificity_std,5,0.01114085075238128,0.004803181824734178
